Neighbourhood,ObjectId
Flemingdon Park (44),7459
Church-Yonge Corridor (75),7460
Danforth East York (59),7461
Lansing-Westgate (38),7462
High Park-Swansea (87),7465
High Park-Swansea (87),7466
Downsview-Roding-CFB (26),7467
Bedford Park-Nortown (39),7468
Church-Yonge Corridor (75),7469
Roncesvalles (86),7470
West Humber-Clairville (1),7471
Agincourt North (129),7472
Annex (95),7473
Runnymede-Bloor West Village (89),7474
Brookhaven-Amesbury (30),7475
Rosedale-Moore Park (98),7476
Annex (95),7477
Old East York (58),7478
Moss Park (73),7479
Clanton Park (33),7480
Church-Yonge Corridor (75),7481
Bay Street Corridor (76),7482
Wexford/Maryvale (119),7483
Wexford/Maryvale (119),7484
Wexford/Maryvale (119),7485
Weston (113),7486
Weston (113),7487
Bay Street Corridor (76),7488
High Park-Swansea (87),7489
Annex (95),7491
Rosedale-Moore Park (98),7492
Rockcliffe-Smythe (111),7493
Pelmo Park-Humberlea (23),7494
Scarborough Village (139),7495
Cliffcrest (123),7496
The Beaches (63),7497
Blake-Jones (69),7499
West Hill (136),7503
Pleasant View (46),7505
Clairlea-Birchmount (120),7518
Clairlea-Birchmount (120),7519
Agincourt South-Malvern West (128),7520
East End-Danforth (62),7522
Cliffcrest (123),7523
West Humber-Clairville (1),7524
High Park North (88),7525
York University Heights (27),7539
Mimico (includes Humber Bay Shores) (17),7547
Moss Park (73),7548
Rosedale-Moore Park (98),7549
North St.James Town (74),7550
Kingsway South (15),7551
Bendale (127),7552
Oakwood Village (107),7555
Moss Park (73),7556
Bendale (127),7557
York University Heights (27),7559
Taylor-Massey (61),7562
Palmerston-Little Italy (80),7563
Palmerston-Little Italy (80),7564
Palmerston-Little Italy (80),7565
Briar Hill-Belgravia (108),7566
Briar Hill-Belgravia (108),7567
Briar Hill-Belgravia (108),7568
Annex (95),7578
Annex (95),7579
Kensington-Chinatown (78),7580
Stonegate-Queensway (16),7581
Church-Yonge Corridor (75),7582
Don Valley Village (47),7583
Willowdale East (51),7586
Rockcliffe-Smythe (111),7587
Mount Dennis (115),7588
Agincourt North (129),7589
Agincourt North (129),7590
Lansing-Westgate (38),7591
Ionview (125),7593
Oakwood Village (107),7594
Woodbine-Lumsden (60),7601
Westminster-Branson (35),7603
Danforth East York (59),7605
High Park-Swansea (87),7609
The Beaches (63),7610
Willowdale West (37),7614
Islington-City Centre West (14),7615
Church-Yonge Corridor (75),7700
Islington-City Centre West (14),7702
Willowdale West (37),7703
Church-Yonge Corridor (75),7704
Woburn (137),7707
Mount Dennis (115),7710
Mount Dennis (115),7714
